ImageNr,site,well,plate,plate_acquisition_id,batch_id,compound_id,pert_type,moa,selected_mechanism,valid,train,test
14851,4,F10,P015082,1323,BJ1896697,CBK200501,trt,bacterial cell wall synthesis inhibitor,DILI,False,False,False
14848,1,F10,P015082,1323,BJ1896697,CBK200501,trt,bacterial cell wall synthesis inhibitor,DILI,False,False,False
14854,7,F10,P015082,1323,BJ1896697,CBK200501,trt,bacterial cell wall synthesis inhibitor,DILI,False,False,False
14853,6,F10,P015082,1323,BJ1896697,CBK200501,trt,bacterial cell wall synthesis inhibitor,DILI,False,False,False
14855,8,F10,P015082,1323,BJ1896697,CBK200501,trt,bacterial cell wall synthesis inhibitor,DILI,False,False,False
14849,2,F10,P015082,1323,BJ1896697,CBK200501,trt,bacterial cell wall synthesis inhibitor,DILI,False,False,False
14850,3,F10,P015082,1323,BJ1896697,CBK200501,trt,bacterial cell wall synthesis inhibitor,DILI,False,False,False
14852,5,F10,P015082,1323,BJ1896697,CBK200501,trt,bacterial cell wall synthesis inhibitor,DILI,False,False,False
15373,6,I12,P015082,1323,BJ1896697,CBK200501,trt,bacterial cell wall synthesis inhibitor,DILI,False,False,False
15369,2,I12,P015082,1323,BJ1896697,CBK200501,trt,bacterial cell wall synthesis inhibitor,DILI,False,False,False
15372,5,I12,P015082,1323,BJ1896697,CBK200501,trt,bacterial cell wall synthesis inhibitor,DILI,False,False,False
15375,8,I12,P015082,1323,BJ1896697,CBK200501,trt,bacterial cell wall synthesis inhibitor,DILI,False,False,False
15374,7,I12,P015082,1323,BJ1896697,CBK200501,trt,bacterial cell wall synthesis inhibitor,DILI,False,False,False
15371,4,I12,P015082,1323,BJ1896697,CBK200501,trt,bacterial cell wall synthesis inhibitor,DILI,False,False,False
15370,3,I12,P015082,1323,BJ1896697,CBK200501,trt,bacterial cell wall synthesis inhibitor,DILI,False,False,False
15368,1,I12,P015082,1323,BJ1896697,CBK200501,trt,bacterial cell wall synthesis inhibitor,DILI,False,False,False
11097,2,L03,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
11099,4,L03,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
11096,1,L03,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
11103,8,L03,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
11100,5,L03,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
11098,3,L03,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
11102,7,L03,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
11101,6,L03,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
10792,1,J07,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,False,False
10797,6,J07,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,False,False
10793,2,J07,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,False,False
10796,5,J07,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,False,False
10798,7,J07,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,False,False
10794,3,J07,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,False,False
11297,2,M07,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,False,False,False
11302,7,M07,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,False,False,False
11300,5,M07,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,False,False,False
11299,4,M07,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,False,False,False
11296,1,M07,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,False,False,False
10023,8,E15,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
10021,6,E15,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
10016,1,E15,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
10019,4,E15,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
10022,7,E15,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
10018,3,E15,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
10020,5,E15,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
10017,2,E15,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
9529,2,B17,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,False,False
9533,6,B17,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,False,False
11559,8,N18,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
11558,7,N18,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
11555,4,N18,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
9535,8,B17,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,False,False
11557,6,N18,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
11554,3,N18,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,False
9715,4,C19,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,False,False
9873,2,D18,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,False,False,False
9717,6,C19,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,False,False
9719,8,C19,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,False,False
9716,5,C19,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,False,False
9872,1,D18,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,False,False,False
9712,1,C19,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,False,False
9714,3,C19,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,False,False
9879,8,D18,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,False,False,False
9876,5,D18,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,False,False,False
9877,6,D18,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,False,False,False
9874,3,D18,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,False,False,False
9878,7,D18,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,False,False,False
9875,4,D18,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,False,False,False
14906,3,F17,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,False,False
14910,7,F17,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,False,False
14732,5,E16,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,False,False
14730,3,E16,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,False,False
14911,8,F17,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,False,False
14909,6,F17,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,False,False
14907,4,F17,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,False,False
14734,7,E16,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,False,False
14728,1,E16,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,False,False
14733,6,E16,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,False,False
14908,5,F17,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,False,False
14731,4,E16,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,False,False
14729,2,E16,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,False,False
